C# Code	Java Reference Code	Generated Java Code
"public virtual DescribeByoipCidrsResponse DescribeByoipCidrs(DescribeByoipCidrsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeByoipCidrsRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeByoipCidrsResponseUnmarshaller.Instance;return Invoke<DescribeByoipCidrsResponse>(request, options);}
"	"public DescribeByoipCidrsResult describeByoipCidrs(DescribeByoipCidrsRequest request) {request = beforeClientExecution(request);return executeDescribeByoipCidrs(request);}
"	"public DescribeByoipCidrsResponse describeByoipCidrs(DescribeByoipCidrsRequest request){return hcClient.syncInvokeHttp(request, IotMeta.describeByoipCidrs);}  C# code: public virtual DescribeByoipCidrsResponse DescribeByoipCidrs(DescribeByoipCidrsRequest request){var runtime = new Dictionary<string, string> { {""timeouted"", ""retry""}, {""readTimeout"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.ReadTimeout, _readTimeout)}, {""connectTimeout"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.ConnectTimeout, _connectTimeout)}, {""localAddr"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.LocalAddr, _localAddr)}, {""httpProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.HttpProxy, _httpProxy)}, {""httpsProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.HttpsProxy, _httpsProxy)}, {""noProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.NoProxy, _noProxy)}, {""socks5Proxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.Socks5Proxy, _socks5Proxy)}, {""socks5NetWork"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.Socks5NetWork, _socks5NetWork)}, {""maxIdleConns"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.MaxIdleConns, _maxIdleConns)}, {""retry"", new Dictionary<string, object> { {""retryable"", runtime.Autoretry}, {""maxAttempts"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.MaxAttempts, 3)}}} };var _lastRequest = null;var _lastException = null;var _now = System.DateTime.Now;var _retryTimes = 0;while (TeaCore.AllowRetry((IDictionary) runtime_[""retry""], _retryTimes, _now)){if (_retryTimes > 0){var backoffTime = TeaCore.GetBackoffTime((IDictionary)runtime_[""backoff""], _retryTimes);if (backoffTime > 0){TeaCore.Sleep(backoffTime);} }_retryTimes = _retryTimes + 1;try{_lastRequest = request.Clone();_lastException = null;"
"public virtual GetDiskResponse GetDisk(GetDiskRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetDiskRequestMarshaller.Instance;options.ResponseUnmarshaller = GetDiskResponseUnmarshaller.Instance;return Invoke<GetDiskResponse>(request, options);}
"	"public GetDiskResult getDisk(GetDiskRequest request) {request = beforeClientExecution(request);return executeGetDisk(request);}
"	"public GetDiskResponse getDisk(GetDiskRequest request){return hcClient.syncInvokeHttp(request, IoTDriverMeta.getDisk);}  C# code: public virtual GetDiskResponse GetDisk(GetDiskRequest request){var runtime = new Dictionary<string, string> { {""timeouted"", ""retry""}, {""readTimeout"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.ReadTimeout, _readTimeout)}, {""connectTimeout"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.ConnectTimeout, _connectTimeout)}, {""localAddr"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.LocalAddr, _localAddr)}, {""httpProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.HttpProxy, _httpProxy)}, {""httpsProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.HttpsProxy, _httpsProxy)}, {""noProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.NoProxy, _noProxy)}, {""socks5Proxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.Socks5Proxy, _socks5Proxy)}, {""socks5NetWork"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.Socks5NetWork, _socks5NetWork)}, {""maxIdleConns"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.MaxIdleConns, _maxIdleConns)}, {""retry"", new Dictionary<string, object> { {""retryable"", runtime.Autoretry}, {""maxAttempts"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.MaxAttempts, 3)}}} };var _lastRequest = null;var _lastException = null;var _now = System.DateTime.Now;var _retryTimes = 0;while (TeaCore.AllowRetry((IDictionary) runtime_[""retry""], _retryTimes, _now)){if (_retryTimes > 0){var backoffTime = TeaCore.GetBackoffTime((IDictionary)runtime_[""backoff""], _retryTimes);if (backoffTime > 0){TeaCore.Sleep(backoffTime);} }_retryTimes = _retryTimes + 1;try{_lastRequest = request.Clone();_lastException = null;TeaResponse response = TeaCore.DoAction(request, runtime_);Object obj = null;if (AlibabaCloud."
"public virtual CreateDBClusterParameterGroupResponse CreateDBClusterParameterGroup(CreateDBClusterParameterGroupRequest request){var options = new InvokeOptions();options.RequestMarshaller = CreateDBClusterParameterGroupRequestMarshaller.Instance;options.ResponseUnmarshaller = CreateDBClusterParameterGroupResponseUnmarshaller.Instance;return Invoke<CreateDBClusterParameterGroupResponse>(request, options);}
"	"public DBClusterParameterGroup createDBClusterParameterGroup(CreateDBClusterParameterGroupRequest request) {request = beforeClientExecution(request);return executeCreateDBClusterParameterGroup(request);}
"	public CreateDBClusterResponse createDBCluster(CreateDBClusterRequest request){return hcClient.syncInvokeHttp(request, IotMeta.createDBCluster);}  C# code: public virtual CreateDBClusterEndpointResponse CreateDBClusterEndpoint
"public static java.nio.CharBuffer wrap(char[] array_1, int start, int charCount){java.util.Arrays.checkOffsetAndCount(array_1.Length, start, charCount);java.nio.CharBuffer buf = new java.nio.ReadWriteCharArrayBuffer(array_1);buf._position = start;buf._limit = start + charCount;return buf;}
"	"public static CharBuffer wrap(char[] array, int start, int charCount) {Arrays.checkOffsetAndCount(array.length, start, charCount);CharBuffer buf = new ReadWriteCharArrayBuffer(array);buf.position = start;buf.limit = start + charCount;return buf;}
"	public static CharBuffer wrap(char[] array, int start, int end, int capacity) {Arrays.checkOffsetAndCount(array.length, start, end - start);CharBuffer buf = new ReadWriteCharArrayBuffer(array, capacity);buf.position(start);buf.limit(end);return buf;}  C# code: public static java.nio.CharBuffer wrap(char[] array, int start, int end, int capacity, int mark){java.util.Arrays.check
"public virtual SubmoduleStatusType GetType(){return type;}
"	"public SubmoduleStatusType getType() {return type;}
"	public SubmoduleStatusType getType() {return type;}  C# code: public override void Initialize(string name, string path, string url, string branch, string commit, string remote, string remoteBranch, string remoteCommit, string remoteUrl, string remoteBranchName, string remoteCommitName, string remoteUrlName, string remoteBranchCommit, string remoteCommitCommit, string remoteUrlCommit, string remoteBranchUrl, string remoteCommitUrl, string remoteUrlUrl, string remoteBranchUrlName, string remoteCommitUrlName, string remoteUrlUrlName, string remoteBranchUrlCommit, string remoteCommitUrlCommit, string remoteUrlUrlCommit, string remoteBranchUrlUrl, string remoteCommitUrlUrl, string remoteUrlUrlUrl, string remoteBranchUrlUrlName, string remoteCommitUrlUrlName, string remoteUrlUrlUrlName, string remoteBranchUrlUrlCommit, string remoteCommitUrlUrlCommit, string remoteUrlUrlUrlCommit, string remoteBranchUrlUrlUrl, string remoteCommitUrlUrlUrl, string remoteUrlUrlUrlUrl, string remoteBranchUrlUrlUrlName, string remoteCommitUrlUrlUrlName, string remoteUrlUrlUrlUrlName, string remoteBranchUrlUrlUrlCommit, string remoteCommitUrlUrlUrlCommit, string remoteUrlUrlUrlUrlCommit, string remoteBranchUrlUrlUrlUrl, string remoteCommitUrlUrlUrlUrl, string remoteUrlUrlUrlUrlUrl, string remoteBranchUrlUrlUrlUrlName, string remoteCommitUrlUrlUrlUrlName, string remoteUrlUrlUrlUrlUrlName, string remoteBranchUrlUrlUrlUrlCommit, string remoteCommitUrlUrlUrlUrlCommit, string remoteUrlUrlUrlUrlUrlCommit, string remoteBranchUrlUrlUrlUrlUrl, string remoteCommitUrlUrlUrlUrlUrl, string remoteUrlUrlUrlUrlUrlUrl, string remoteBranchUrlUrlUrlUrlUrlName, string remoteCommitUrlUrlUrlUrlUrlName, string remoteUrlUrlUrlUrlUrlUrlName, string remoteBranchUrlUrlUrlUrlUrlCommit, string remoteCommitUrlUrlUrlUrlUrlCommit, string remoteUrlUrlUrlUrlUrlUrlCommit, string remoteBranchUrlUrlUrlUrlUrlUrl, string remoteCommitUrlUrlUrlUrlUrlUrl, string remoteUrlUrlUrlUrlUrlUrlUrl, string remoteBranchUrlUrlUrlUrlUrlUrlName, string remoteCommitUrlUrlUrlUrlUrlUrlName, string remoteUrlUrlUrlUrlUrlUrlUrlName, string remoteBranchUrlUrlUrlUrlUrlUrlCommit, string remoteCommitUrlUrlUrlUrlUrlUrlCommit, string
"public virtual DescribeGameServerGroupResponse DescribeGameServerGroup(DescribeGameServerGroupRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeGameServerGroupRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeGameServerGroupResponseUnmarshaller.Instance;return Invoke<DescribeGameServerGroupResponse>(request, options);}
"	"public DescribeGameServerGroupResult describeGameServerGroup(DescribeGameServerGroupRequest request) {request = beforeClientExecution(request);return executeDescribeGameServerGroup(request);}
"	public DescribeGameSessionDetailsResponse describeGameSessionDetails(DescribeGameSessionDetailsRequest request){return hcClient.syncInvokeHttp(request,
"public java.util.regex.Pattern pattern(){return _pattern;}
"	"public Pattern pattern() {return pattern;}
"	public int getLevelForDistance(double dist) {if (dist == 0)return maxLevels;final int level = GeohashUtils.lookupHashLenForWidthHeight(dist, dist);return Math.max(Math.min(level, maxLevels), 1);}  C# code: public override int GetLevelForDistance(double dist){if (dist == 0){return m_maxLevels;}for (int i = 0; i < m_maxLevels - 1; i++){if (dist > levelW[i] && dist > levelH[i]){return i + 1;}}
"public virtual V setValue(V @object){throw new System.NotSupportedException();}
"	"public V setValue(V object) {throw new UnsupportedOperationException();}
"	public void setLevelForDistance(int level, double width,
"public StringBuilder Stem(string word){string cmd = stemmer.GetLastOnPath(word);if (cmd == null)return null;buffer.Length = 0;buffer.Append(word);Diff.Apply(buffer, cmd);if (buffer.Length > 0)return buffer;elsereturn null;}
"	"public StringBuilder stem(CharSequence word) {CharSequence cmd = stemmer.getLastOnPath(word);if (cmd == null)return null;buffer.setLength(0);buffer.append(word);Diff.apply(buffer, cmd);if (buffer.length() > 0)return buffer;elsereturn null;}
"	public String getWord(int
"public RenameFaceRequest(): base(""CloudPhoto"", ""2017-07-11"", ""RenameFace"", ""cloudphoto"", ""openAPI""){Protocol = ProtocolType.HTTPS;}
"	"public RenameFaceRequest() {super(""CloudPhoto"", ""2017-07-11"", ""RenameFace"", ""cloudphoto"");setProtocol(ProtocolType.HTTPS);}
"	"public void validate() {RequestValidator.validateRequired(this.libraryId, ""libraryId"");RequestValidator.validateRequired(this.personId, ""personId"");RequestValidator.validateRequired(this.faceId, ""faceId"");RequestValidator.validateRequired(this.faceName, ""faceName"");RequestValidator.validateRequired(this.faceId, ""faceId"", true);RequestValidator.validateRequired(this.faceName, ""faceName"", true);RequestValidator.validateMaxListSize(""faceId"", this.faceId, 10);RequestValidator.validateMinListSize(""faceId"", this.faceId, 1);RequestValidator.validateMaxListSize(""faceName"", this.faceName, 10);RequestValidator.validateMinListSize(""faceName"", this.faceName, 1);RequestValidator."
"public virtual char RequireChar(IDictionary<string, string> args, string name){return Require(args, name)[0];}
"	"public char requireChar(Map<String,String> args, String name) {return require(args, name).charAt(0);}
"	public String require(Map<String, String> args, String name, String defaultValue, String
"public static string ToStringTree(ITree t){return ToStringTree(t, (IList<string>)null);}
"	"public static String toStringTree(Tree t) {return toStringTree(t, (List<String>)null);}
"	public static String toStringTree(Tree t, List<String> labels, boolean showRuleNames, boolean showTokenText, boolean showContext, boolean showLineInfo) {return toStringTree(t, labels, showRuleNames, showTokenText, showContext, showLineInfo, false);}
"public override string ToString(){return ""<deleted/>"";}
"	"public String toString() {return ""<deleted/>"";}
"	public void writeTo(OutputStream output, int offset, int length, int level, int precision, int precisionBits, int precisionBits2) throws IOException {output.write(m_bytes, offset, length);}  C# code: public override void WriteTo(Stream output, int offset, int length, int level, int precision, int precisionBits, int precisionBits2, int precisionBits3
"public GetRepoWebhookLogListRequest(): base(""cr"", ""2016-06-07"", ""GetRepoWebhookLogList"", ""cr"", ""openAPI""){UriPattern = ""/repos/[RepoNamespace]/[RepoName]/webhooks/[WebhookId]/logs"";Method = MethodType.GET;}
"	"public GetRepoWebhookLogListRequest() {super(""cr"", ""2016-06-07"", ""GetRepoWebhookLogList"", ""cr"");setUriPattern(""/repos/[RepoNamespace]/[RepoName]/webhooks/[WebhookId]/logs"");setMethod(MethodType.GET);}
"	public GetRepoWebhookLogListResponse getRepoWebhookLogList(GetRepoWebhookLogListRequest request) {return JDCloudSDK.Cr.Client.Impl.CrClientExecutor.client.getRepoWebhookLogList(request);}  C# code: public override GetRepoWebhookLogListResponse GetRepoWebhookLogList(GetRepoWebhookLogListRequest
"public virtual GetJobUnlockCodeResponse GetJobUnlockCode(GetJobUnlockCodeRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetJobUnlockCodeRequestMarshaller.Instance;options.ResponseUnmarshaller = GetJobUnlockCodeResponseUnmarshaller.Instance;return Invoke<GetJobUnlockCodeResponse>(request, options);}
"	"public GetJobUnlockCodeResult getJobUnlockCode(GetJobUnlockCodeRequest request) {request = beforeClientExecution(request);return executeGetJobUnlockCode(request);}
"	public GetJobUnlockCodeResponse getJobUnlockCode(GetJobUnlockCodeRequest request) {var options = new InvokeOptions();options.requestMarshaller = GetJobUnlockCodeRequestMarshaller.getInstance();options.responseUnmarshaller = GetJobUnlockCodeResponseUnmarshaller.getInstance();return this.invoke(request, options);}  C# code: public virtual GetJobUnlockCodeResponse GetJobUnlockCode(GetJobUnlockCodeRequest
"public RemoveTagsRequest(string resourceId){_resourceId = resourceId;}
"	"public RemoveTagsRequest(String resourceId) {setResourceId(resourceId);}
"	public RemoveTagsRequest(String resourceId, String tagKey, String tagValue, String clientToken, String
"public virtual short GetGB2312Id(char ch){try{byte[] buffer = Encoding.GetEncoding(""GB2312"").GetBytes(ch.ToString());if (buffer.Length != 2){return -1;}int b0 = (buffer[0] & 0x0FF) - 161; int b1 = (buffer[1] & 0x0FF) - 161; return (short)(b0 * 94 + b1);}catch (ArgumentException e) {throw new Exception(e.ToString(), e);}}
"	"public short getGB2312Id(char ch) {try {byte[] buffer = Character.toString(ch).getBytes(""GB2312"");if (buffer.length != 2) {return -1;}int b0 = (buffer[0] & 0x0FF) - 161; int b1 = (buffer[1] & 0x0FF) - 161; return (short) (b0 * 94 + b1);} catch (UnsupportedEncodingException e) {throw new RuntimeException(e);}}
"	public String getGB2312String(short id) {if (id < 0 || id > 94 * 94)return null;int b0 = id / 94;int b1 = id % 94;return new String(new char[]{
"public virtual NGit.BatchRefUpdate AddCommand(ICollection<ReceiveCommand> cmd){Sharpen.Collections.AddAll(commands, cmd);return this;}
"	"public BatchRefUpdate addCommand(Collection<ReceiveCommand> cmd) {commands.addAll(cmd);return this;}
"	public BatchRefUpdate addCommand(String refName, ObjectId oldId, ObjectId newId, boolean force, boolean dryRun, boolean allowEmpty) {commands.
"public int CheckExternSheet(int sheetNumber){return OrCreateLinkTable.CheckExternSheet(sheetNumber);}
"	"public short checkExternSheet(int sheetNumber){return (short)getOrCreateLinkTable().checkExternSheet(sheetNumber);}
"	public void setExternSheet(int sheetNumber, int externSheetNumber, int externSheetColumnNumber, int externSheetRowNumber, int externSheetColumnNumber2) {OrCreateLinkTable.setExternSheet(sheetNumber, externSheetNumber, externSheetColumnNumber, externSheetRowNumber, externSheetColumnNumber2);}  C# code: public void SetExternSheet(int sheetNumber, int externSheetNumber, int externSheetColumnNumber, int externSheetRowNumber, int externSheetColumnNumber2, int externSheetRowNumber
"public override bool Equals(object @object){return c.Equals(@object);}
"	"@Override public boolean equals(Object object) {return c.equals(object);}
"	public void writeTo(BinaryWriter output, int precision) throws IOException {c.writeTo(output, precision);}  C#
"public virtual Query Build(IQueryNode queryNode){AnyQueryNode andNode = (AnyQueryNode)queryNode;BooleanQuery bQuery = new BooleanQuery();IList<IQueryNode> children = andNode.GetChildren();if (children != null){foreach (IQueryNode child in children){object obj = child.GetTag(QueryTreeBuilder.QUERY_TREE_BUILDER_TAGID);if (obj != null){Query query = (Query)obj;try{bQuery.Add(query, Occur.SHOULD);}catch (BooleanQuery.TooManyClausesException ex){throw new QueryNodeException(new Message(QueryParserMessages.EMPTY_MESSAGE), ex);}}}}bQuery.MinimumNumberShouldMatch = andNode.MinimumMatchingElements;return bQuery;}
"	"public BooleanQuery build(QueryNode queryNode) throws QueryNodeException {AnyQueryNode andNode = (AnyQueryNode) queryNode;BooleanQuery.Builder bQuery = new BooleanQuery.Builder();List<QueryNode> children = andNode.getChildren();if (children != null) {for (QueryNode child : children) {Object obj = child.getTag(QueryTreeBuilder.QUERY_TREE_BUILDER_TAGID);if (obj != null) {Query query = (Query) obj;try {bQuery.add(query, BooleanClause.Occur.SHOULD);} catch (TooManyClauses ex) {throw new QueryNodeException(new MessageImpl(QueryParserMessages.EMPTY_MESSAGE), ex);}}}}bQuery.setMinimumNumberShouldMatch(andNode.getMinimumMatchingElements());return bQuery.build();}
"	public QueryNode postProcessNode(QueryNode node) {if (node instanceof AnyQueryNode) {AnyQueryNode anyNode = (AnyQueryNode) node;List<QueryNode> children = anyNode.getChildren();
"public virtual DescribeStreamProcessorResponse DescribeStreamProcessor(DescribeStreamProcessorRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeStreamProcessorRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeStreamProcessorResponseUnmarshaller.Instance;return Invoke<DescribeStreamProcessorResponse>(request, options);}
"	"public DescribeStreamProcessorResult describeStreamProcessor(DescribeStreamProcessorRequest request) {request = beforeClientExecution(request);return executeDescribeStreamProcessor(request);}
"	"public DescribeStreamProcessorResponse describeStreamProcessor(DescribeStreamProcessorRequest request){return hcClient.syncInvokeHttp(request, IoTWirelessMeta.describeStreamProcessor);}  C# code: public virtual DescribeStreamProcessorResponse DescribeStreamProcessor(DescribeStreamProcessorRequest request){var runtime = new Dictionary<string, string> { {""timeouted"", ""retry""}, {""readTimeout"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.ReadTimeout, _readTimeout)}, {""connectTimeout"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.ConnectTimeout, _connectTimeout)}, {""localAddr"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.LocalAddr, _localAddr)}, {""httpProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.HttpProxy, _httpProxy)}, {""httpsProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.HttpsProxy, _httpsProxy)}, {""noProxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.NoProxy, _noProxy)}, {""socks5Proxy"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.Socks5Proxy, _socks5Proxy)}, {""socks5NetWork"", AlibabaCloud.TeaUtil.Common.DefaultString(runtime.Socks5NetWork, _socks5NetWork)}, {""maxIdleConns"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.MaxIdleConns, _maxIdleConns)}, {""retry"", new Dictionary<string, object> { {""retryable"", runtime.Autoretry}, {""maxAttempts"", AlibabaCloud.TeaUtil.Common.DefaultNumber(runtime.MaxAttempts, 3)}}} };var _lastRequest = null;var _lastException = null;var _now = System.DateTime.Now;var _retryTimes = 0;while (TeaCore.AllowRetry((IDictionary) runtime_[""retry""], _retryTimes, _now)){if (_retryTimes > 0){var backoffTime = TeaCore.GetBackoffTime((IDictionary)runtime_[""backoff""], _retryTimes);if (backoffTime > 0){TeaCore.Sleep(backoffTime);} }_retryTimes = _retryTimes + 1;try{_lastRequest = request.Clone();_lastException = null;TeaResponse response = TeaCore.DoAction(request, runtime_);Object obj ="
"public virtual DescribeDashboardPermissionsResponse DescribeDashboardPermissions(DescribeDashboardPermissionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeDashboardPermissionsRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeDashboardPermissionsResponseUnmarshaller.Instance;return Invoke<DescribeDashboardPermissionsResponse>(request, options);}
"	"public DescribeDashboardPermissionsResult describeDashboardPermissions(DescribeDashboardPermissionsRequest request) {request = beforeClientExecution(request);return executeDescribeDashboardPermissions(request);}
"	public DescribeDeviceGroupsResponse describeDeviceGroups(DescribeDeviceGroupsRequest request, InvokeOptions invokeOptions){return hcClient.syncInvokeHttp(request, IoTDashboardMeta.describeDeviceGroups, invokeOptions);}  C# code: public virtual DescribeDeviceGroupsResponse DescribeDeviceGroups(DescribeDeviceGroupsRequest request, RuntimeOptions runtime, InvokeOptions
"public virtual Ref Peel(Ref @ref){try{return RefDatabase.Peel(@ref);}catch (IOException){return @ref;}}
"	"public Ref peel(Ref ref) {try {return getRefDatabase().peel(ref);} catch (IOException e) {return ref;}}
"	public Ref getRef(Ref ref, long revision, long limit) {
"public override long RamBytesUsed(){return RamUsageEstimator.AlignObjectSize(RamUsageEstimator.NUM_BYTES_OBJECT_HEADER+ 2 * RamUsageEstimator.NUM_BYTES_INT32 + RamUsageEstimator.NUM_BYTES_OBJECT_REF) + RamUsageEstimator.SizeOf(blocks);}
"	"public long ramBytesUsed() {return RamUsageEstimator.alignObjectSize(RamUsageEstimator.NUM_BYTES_OBJECT_HEADER+ 2 * Integer.BYTES     + RamUsageEstimator.NUM_BYTES_OBJECT_REF) + RamUsageEstimator.sizeOf(blocks);}
"	public long ramBytesUsed() {return RamUsageEstimator.NUM_BYTES_OBJECT_HEADER + 2 * RamUsageEstimator.NUM_BYTES_INT32 + RamUsageEstimator.NUM_BYTES_OBJECT_REF + RamUsageEstimator.sizeOf(blocks);}  C# code: public override void Write(DataOutput out){out.WriteInt32(m_maxLevels);out.WriteInt32(m_precision);out.WriteInt32(m_minLevel);out.WriteInt32(m_maxLevel);out.WriteInt32(m_numBlocks);out.WriteInt32(m_numLevels);out.WriteInt32(m_numCells);out.WriteInt32(m_numCellsPerLevel);out.WriteInt32(m_numCellsPerBlock);out.WriteInt32(m_numCellsPerLevelPerBlock);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevel);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevelPerLevel);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevelPerLevelPerLevel);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevelPerLevelPerLevelPerLevel);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevelPerLevelPerLevelPerLevelPerLevel);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevelPerLevelPerLevelPerLevelPerLevelPerLevel);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevel);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevel);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevel);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevel);out.WriteInt32(m_numCellsPerLevelPerBlockPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevelPerLevel);out.WriteInt32
"public virtual GetDomainSuggestionsResponse GetDomainSuggestions(GetDomainSuggestionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetDomainSuggestionsRequestMarshaller.Instance;options.ResponseUnmarshaller = GetDomainSuggestionsResponseUnmarshaller.Instance;return Invoke<GetDomainSuggestionsResponse>(request, options);}
"	"public GetDomainSuggestionsResult getDomainSuggestions(GetDomainSuggestionsRequest request) {request = beforeClientExecution(request);return executeGetDomainSuggestions(request);}
"	public GetDomainSuggestionsResponse getDomainSuggestions(GetDomainSuggestionsRequest request) {InvokeOptions options = new InvokeOptions();options.requestMarshaller = GetDomainSuggestionsRequestMarshaller.getInstance();options.responseUnmarshaller = GetDomainSuggestionsResponseUnmarshaller.getInstance();return this.invoke(request, options);}  C# code: public virtual GetDomainSuggestionsResponse GetDomainSuggestions(GetDomainSuggestionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetDomainSuggestionsRequestMarshaller.Instance;options.ResponseUnmarshaller = GetDomainSuggestionsResponseUnmarshaller.Instance;return Invoke
"public virtual DescribeStackEventsResponse DescribeStackEvents(DescribeStackEventsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeStackEventsRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeStackEventsResponseUnmarshaller.Instance;return Invoke<DescribeStackEventsResponse>(request, options);}
"	"public DescribeStackEventsResult describeStackEvents(DescribeStackEventsRequest request) {request = beforeClientExecution(request);return executeDescribeStackEvents(request);}
"	public DescribeStackSummaryResponse describeStackSummary(DescribeStackSummaryRequest request){return hcClient.syncInvokeHttp(request, AcsMeta.describeStackSummary);}  C# code: public virtual DescribeStacksResponse DescribeStacks(DescribeStacksRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeStacksRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeStacksResponseUnmarshaller.Instance;return Invoke<DescribeStack
"public void SetRule(int idx, IConditionalFormattingRule cfRule){SetRule(idx, (HSSFConditionalFormattingRule)cfRule);}
"	"public void setRule(int idx, ConditionalFormattingRule cfRule){setRule(idx, (HSSFConditionalFormattingRule)cfRule);}
"	public void setRule(int idx, XSSFConditionalFormattingRule cfRule) {if (idx < 0 || idx >= getRules().size()) {return;}getRules().set(idx, cfRule);}  C# code: public
"public virtual CreateResolverRuleResponse CreateResolverRule(CreateResolverRuleRequest request){var options = new InvokeOptions();options.RequestMarshaller = CreateResolverRuleRequestMarshaller.Instance;options.ResponseUnmarshaller = CreateResolverRuleResponseUnmarshaller.Instance;return Invoke<CreateResolverRuleResponse>(request, options);}
"	"public CreateResolverRuleResult createResolverRule(CreateResolverRuleRequest request) {request = beforeClientExecution(request);return executeCreateResolverRule(request);}
"	public DescribeResolverRuleResponse describeResolverRule(DescribeResolverRuleRequest request){return hcClient.syncInvokeHttp(request, Iot.class);}  C# code: public virtual DisassociateResolverEndpointIpAddressResponse DisassociateResolverEndpointIpAddress(DisassociateResolverEndpointIpAddressRequest request){var options = new InvokeOptions();options.RequestMarshaller = DisassociateResolverEndpointIpAddressRequestMarshaller.Instance;options.ResponseUnmarshaller = DisassociateResolverEndpointIpAddressResponseUnmarshaller.Instance;return Invoke<Disassociate
"public SeriesIndexRecord(RecordInputStream in1){field_1_index = in1.ReadShort();}
"	"public SeriesIndexRecord(RecordInputStream in) {field_1_index = in.readShort();}
"	public SeriesIndexRecord(short index) {this.field_1_index = index;}  C# code: public SeriesIndexRecord(RecordInputStream in1){field_1_index = in1.ReadShort();}  Java code
